,Cumulative Return
2017-01-04,3.0
2017-01-05,4.126477259229869
2017-01-06,4.7469318914704495
2017-01-09,4.54230650775251
2017-01-10,4.476889544214355
2017-01-11,4.355580548803555
2017-01-12,4.634654666665011
2017-01-13,4.831227626320906
2017-01-17,5.807618255396374
2017-01-18,6.961075396644883
2017-01-19,6.7423097763862465
2017-01-20,7.0394479141291235
2017-01-23,8.09490613850765
2017-01-24,8.987119845366106
2017-01-25,9.113846126380377
2017-01-26,8.910013243923895
2017-01-27,8.96449374793563
2017-01-30,8.90710683553014
2017-01-31,9.408937484815834
2017-02-01,9.505475258778898
2017-02-02,9.450190284846467
2017-02-03,9.433070198258502
2017-02-06,10.270506465433282
2017-02-07,10.277652609046054
2017-02-08,10.98418123767122
2017-02-09,11.612429852395945
2017-02-10,11.71204820394858
2017-02-13,11.952521336820137
2017-02-14,12.551475360380646
2017-02-15,12.842309796864793
2017-02-16,13.442438555097834
2017-02-17,13.963130080638148
2017-02-21,14.02020548333756
2017-02-22,13.936005240861487
2017-02-23,14.560141990982157
2017-02-24,14.851151665381149
2017-02-27,15.388399141549126
2017-02-28,16.101328897929744
2017-03-01,16.88868888910245
2017-03-02,17.164922160099632
2017-03-03,17.15144688287135
2017-03-06,17.20922081196066
2017-03-07,17.0958383127613
2017-03-08,17.51911536767464
2017-03-09,18.02863952996584
2017-03-10,18.4464570899904
2017-03-13,18.78144341068717
2017-03-14,18.881873236870415
2017-03-15,20.36696144964979
2017-03-16,20.391477788714365
2017-03-17,20.700993370413453
2017-03-20,21.015520938646187
2017-03-21,21.538934465937455
2017-03-22,21.689607090232567
2017-03-23,22.09205748007251
2017-04-04,22.4953574245478
2017-04-05,22.26612006948879
2017-04-06,22.335783806690852
2017-04-07,23.082608359461556
2017-04-10,23.265120645115058
2017-04-11,22.51558529521888
2017-04-12,22.198496731990854
2017-04-13,22.141639566110353
2017-04-17,22.278559844187367
2017-04-18,23.298812471507954
2017-04-19,23.72336147370832
2017-04-20,23.880869582822452
2017-04-21,23.73795866995668
2017-04-24,23.962302071336563
2017-04-25,24.70463856140803
2017-04-26,24.91543879508343
2017-04-27,24.747568941296304
2017-04-28,24.746847113914082
2017-05-01,25.015484748727868
2017-05-02,24.80903323154733
2017-05-03,25.411730095016065
2017-05-04,25.49934109553531
2017-05-05,25.527575299114215
2017-05-08,25.865365434408414
2017-05-09,25.72451801432133
2017-05-10,25.766436279896407
2017-05-11,26.027011122466757
2017-05-12,26.861229838948457
2017-05-15,26.726643235451302
2017-05-16,26.597750038402847
2017-05-17,27.916798437508515
2017-05-18,27.904002823662704
2017-05-19,27.7783263891756
2017-05-22,27.920572762056945
2017-05-23,28.162449228955193
2017-05-24,28.67119983481778
2017-05-25,28.742732363665237
2017-05-26,28.7061620098825
2017-05-30,29.09115778285148
2017-05-31,28.986181161162204
2017-06-01,29.00897031780867
2017-06-02,29.513431094964726
2017-06-05,29.70060904175578
2017-06-06,30.035897736815496
2017-06-07,29.70066143097527
2017-06-08,29.692443141622316
2017-06-09,29.904403045216423
2017-06-12,29.99024239495655
2017-06-13,29.956741264660632
2017-06-14,30.7590977769464
2017-06-15,31.127026782476133
2017-06-16,30.93096268990801
2017-06-19,31.53750862855257
2017-06-20,31.458296961663546
2017-06-23,31.35598534327026
2017-06-26,31.299932099459948
2017-06-29,31.643235525978053
2017-06-30,31.94517175473764
2017-07-03,33.48535474021945
2017-07-05,33.590437890208236
2017-07-06,33.85960337909954
2017-07-07,34.024011310833416
2017-07-10,34.01628231531093
2017-07-11,34.15952463419261
2017-07-12,34.82048832097233
2017-07-13,34.804118544404886
2017-07-14,35.020697565825216
2017-07-17,35.166553518927216
2017-07-18,35.25886740415034
2017-07-19,35.338639434153706
2017-07-20,35.40082849115741
2017-07-21,35.701124123257145
2017-07-24,35.82665787586619
2017-07-25,36.7570699353996
2017-07-26,37.15862655810223
2017-07-27,37.35987689050988
2017-07-28,37.51810849162892
2017-07-31,37.51642906876985
2017-08-01,37.959427370939
2017-08-02,38.14114364354644
2017-08-03,38.57152255463187
2017-08-04,38.87880727301125
2017-08-07,38.88076501504291
2017-08-08,38.83715699067578
2017-08-09,38.88235807921045
2017-08-10,39.44796684653737
2017-08-11,39.681841753323155
2017-08-14,39.959391108148324
2017-08-15,40.67290676782612
2017-08-16,40.959345612807724
2017-08-17,41.25485671231762
2017-08-18,41.23540496327222
2017-08-21,41.167803070640716
2017-08-22,41.210628138929664
2017-08-23,41.130771343670844
2017-08-24,41.491418087929546
2017-08-25,41.354682473307534
2017-08-28,41.11165155314846
2017-08-29,41.405897835111304
2017-08-30,41.32775776864035
2017-08-31,41.115408780826314
2017-09-01,41.67680844255845
2017-09-05,42.852654277217866
2017-09-06,43.25597835971165
2017-09-07,43.94815492849919
2017-09-08,43.934839595911384
2017-09-11,44.71601595344144
2017-09-12,45.01805896467884
2017-09-13,45.24238463449181
2017-09-14,45.33764006266027
