DATE,TRDPRC_1,OPEN_PRC,HIGH_1,LOW_1
2017-01-03,108.2734375,108.3046875,108.328125,108.203125
2017-01-04,108.2734375,108.265625,108.28125,108.2265625
2017-01-05,108.390625,108.2734375,108.3984375,108.2578125
2017-01-06,108.2890625,108.3984375,108.4453125,108.265625
2017-01-09,108.359375,108.2890625,108.359375,108.2578125
2017-01-10,108.3515625,108.359375,108.3671875,108.3125
2017-01-11,108.3359375,108.3515625,108.4296875,108.3125
2017-01-12,108.375,108.34375,108.4453125,108.34375
2017-01-13,108.3359375,108.375,108.4375,108.265625
2017-01-17,108.4375,108.328125,108.4765625,108.328125
2017-01-18,108.2890625,108.4375,108.4375,108.2890625
2017-01-19,108.296875,108.2890625,108.3125,108.234375
2017-01-20,108.3515625,108.2890625,108.3828125,108.2578125
2017-01-23,108.46875,108.3515625,108.484375,108.34375
2017-01-24,108.359375,108.4765625,108.4765625,108.3515625
2017-01-25,108.3359375,108.3671875,108.3828125,108.3046875
2017-01-26,108.359375,108.34375,108.375,108.296875
2017-01-27,108.3671875,108.3515625,108.390625,108.328125
2017-01-30,108.375,108.3828125,108.40625,108.359375
2017-01-31,108.3984375,108.375,108.4375,108.3671875
2017-02-01,108.375,108.390625,108.40625,108.28125
2017-02-02,108.3984375,108.3828125,108.4296875,108.3671875
2017-02-03,108.4140625,108.3984375,108.4765625,108.3125
2017-02-06,108.5078125,108.4140625,108.515625,108.4140625
2017-02-07,108.4765625,108.515625,108.5390625,108.4609375
2017-02-08,108.5390625,108.4765625,108.546875,108.46875
2017-02-09,108.4609375,108.53125,108.5390625,108.4453125
2017-02-10,108.4375,108.4609375,108.46875,108.421875
2017-02-13,108.40625,108.4296875,108.4296875,108.3984375
2017-02-14,108.3359375,108.40625,108.421875,108.3125
2017-02-15,108.3046875,108.3359375,108.359375,108.28125
2017-02-16,108.390625,108.3046875,108.3984375,108.2890625
2017-02-17,108.453125,108.3828125,108.4609375,108.3671875
2017-02-21,108.4375,108.453125,108.453125,108.390625
2017-02-22,108.4609375,108.4375,108.5,108.3828125
2017-02-23,108.5390625,108.46875,108.546875,108.453125
2017-02-24,108.625,108.5390625,108.6328125,108.53125
2017-02-27,108.53125,108.6328125,108.640625,108.5078125
2017-02-28,108.3984375,108.5390625,108.5546875,108.375
2017-03-01,108.359375,108.390625,108.390625,108.3203125
2017-03-02,108.3046875,108.3671875,108.375,108.265625
2017-03-03,108.3203125,108.3046875,108.328125,108.265625
2017-03-06,108.3203125,108.3359375,108.359375,108.296875
2017-03-07,108.2890625,108.3203125,108.3359375,108.2734375
2017-03-08,108.2421875,108.2734375,108.2734375,108.203125
2017-03-09,108.2109375,108.21875,108.234375,108.2109375
2017-03-10,108.2578125,108.2265625,108.2578125,108.2109375
2017-03-13,108.2421875,108.2578125,108.28125,108.2265625
2017-03-14,108.234375,108.2265625,108.25,108.2265625
2017-03-15,108.3671875,108.234375,108.3671875,108.1953125
2017-03-16,108.3046875,108.3671875,108.375,108.3046875
2017-03-17,108.3359375,108.3359375,108.3515625,108.3359375
2017-03-20,108.3671875,108.3203125,108.3671875,108.3125
