DATE,TRDPRC_1,OPEN_PRC,HIGH_1,LOW_1
2017-01-03,117.5703125,117.5546875,117.6484375,117.25
2017-01-04,117.6015625,117.5703125,117.640625,117.3984375
2017-01-05,118.0390625,117.59375,118.1015625,117.546875
2017-01-06,117.625,118.0390625,118.25,117.5859375
2017-01-09,117.8671875,117.6328125,117.8828125,117.5390625
2017-01-10,117.859375,117.8671875,117.9375,117.765625
2017-01-11,117.8046875,117.875,118.1171875,117.7265625
2017-01-12,117.9140625,117.8203125,118.1796875,117.8203125
2017-01-13,117.7734375,117.90625,118.1875,117.578125
2017-01-17,118.171875,117.7890625,118.25,117.78125
2017-01-18,117.5859375,118.1640625,118.1796875,117.578125
2017-01-19,117.5,117.5703125,117.671875,117.3671875
2017-01-20,117.671875,117.5078125,117.7265625,117.34375
2017-01-23,118.046875,117.6640625,118.1328125,117.65625
2017-01-24,117.6953125,118.046875,118.0859375,117.671875
2017-01-25,117.53125,117.71875,117.78125,117.4296875
2017-01-26,117.6015625,117.546875,117.6484375,117.3671875
2017-01-27,117.703125,117.609375,117.734375,117.5
2017-01-30,117.6953125,117.7421875,117.84375,117.65625
2017-01-31,117.8515625,117.6953125,117.9765625,117.6796875
2017-02-01,117.765625,117.8515625,117.859375,117.4765625
2017-02-02,117.796875,117.765625,117.9921875,117.71875
2017-02-03,117.8671875,117.796875,118.1015625,117.5859375
2017-02-06,118.1875,117.859375,118.2109375,117.828125
2017-02-07,118.171875,118.1875,118.3359375,118.0390625
2017-02-08,118.40625,118.171875,118.4453125,118.1328125
2017-02-09,118.0859375,118.4140625,118.4140625,118.0390625
2017-02-10,117.984375,118.0859375,118.09375,117.921875
2017-02-13,117.859375,117.96875,117.96875,117.796875
2017-02-14,117.609375,117.8515625,117.90625,117.484375
2017-02-15,117.4921875,117.6171875,117.6484375,117.34375
2017-02-16,117.765625,117.4765625,117.8125,117.453125
2017-02-17,117.953125,117.75,118.03125,117.6953125
2017-02-21,117.8828125,117.9296875,117.953125,117.7265625
2017-02-22,117.953125,117.875,118.046875,117.7109375
2017-02-23,118.2109375,117.9453125,118.21875,117.9140625
2017-02-24,118.484375,118.203125,118.5078125,118.171875
2017-02-27,118.171875,118.5,118.5078125,118.1328125
2017-02-28,117.828125,118.1796875,118.2578125,117.71875
2017-03-01,117.5234375,117.796875,117.796875,117.46875
2017-03-02,117.390625,117.515625,117.578125,117.2578125
2017-03-03,117.453125,117.40625,117.453125,117.21875
2017-03-06,117.3984375,117.3828125,117.5625,117.3671875
2017-03-07,117.28125,117.421875,117.4375,117.28125
2017-03-08,117.109375,117.3046875,117.3046875,117.0
2017-03-09,116.96875,117.109375,117.171875,116.96875
2017-03-10,117.1484375,116.9453125,117.1796875,116.9453125
2017-03-13,117.0234375,117.140625,117.140625,117.0234375
2017-03-14,117.0546875,117.015625,117.125,116.9921875
2017-03-15,117.59375,117.1328125,117.6015625,117.03125
2017-03-16,117.421875,117.59375,117.59375,117.421875
2017-03-17,117.5625,117.4375,117.59375,117.40625
2017-03-20,117.734375,117.640625,117.734375,117.5390625
2017-03-21,117.9140625,117.6328125,117.9375,117.5703125
2017-03-22,118.0078125,117.953125,118.09375,117.921875
2017-03-23,117.9375,117.953125,118.078125,117.9296875
2017-03-24,117.9296875,117.9765625,117.984375,117.9296875
2017-03-27,118.0703125,118.171875,118.171875,118.0703125
2017-03-28,,,,
2017-03-29,118.046875,117.7890625,118.046875,117.7890625
2017-03-30,117.921875,118.0234375,118.0390625,117.921875
2017-03-31,118.078125,118.09375,118.09375,118.078125
2017-04-03,118.0859375,117.75,118.1015625,117.671875
2017-04-04,117.90625,118.078125,118.15625,117.8984375
2017-04-05,118.1015625,117.921875,118.1953125,117.8359375
2017-04-06,118.0703125,118.1015625,118.171875,117.9453125
2017-04-07,117.765625,118.0546875,118.46875,117.75
2017-04-10,117.890625,117.796875,117.984375,117.703125
2017-04-11,118.2578125,117.8828125,118.3203125,117.875
2017-04-12,118.578125,118.2578125,118.5859375,118.171875
2017-04-13,118.59375,118.5546875,118.703125,118.421875
2017-04-17,118.546875,118.96875,118.96875,118.5078125
2017-04-18,118.9375,118.5546875,118.9609375,118.515625
2017-04-19,118.75,118.9375,118.953125,118.6796875
2017-04-20,118.6328125,118.7734375,118.8359375,118.5390625
2017-04-21,118.6171875,118.6484375,118.7890625,118.578125
2017-04-24,118.46875,118.25,118.5234375,118.078125
2017-04-25,118.203125,118.4765625,118.5,118.1640625
2017-04-26,118.328125,118.21875,118.359375,118.1171875
2017-04-27,118.375,118.3203125,118.4609375,118.2578125
2017-04-28,118.40625,118.390625,118.4453125,118.1640625
2017-05-01,118.3046875,118.3984375,118.453125,118.1953125
2017-05-02,118.46875,118.3125,118.484375,118.1953125
2017-05-03,118.234375,118.4609375,118.46875,118.1953125
2017-05-04,118.078125,118.21875,118.25,118.0078125
2017-05-05,118.109375,118.0625,118.1953125,117.875
2017-05-08,117.984375,118.03125,118.2109375,117.9375
2017-05-09,117.921875,117.984375,118.03125,117.828125
2017-05-10,117.8515625,117.921875,118.0859375,117.8359375
2017-05-11,117.984375,117.8515625,117.984375,117.7890625
2017-05-12,118.3125,117.9765625,118.359375,117.9609375
2017-05-15,118.2421875,118.3203125,118.390625,118.2265625
